,Day,Trips,OrigCode,DestCode,Origin,Destination,OPop,DEmpl,Ourban,Durban,OInc,DInc,Distance
55,Friday,13253,30104,30105,St. Hanshaugen,Frogner,29966,48082,2.8,5.35,430000,464000,3739.417283836593
56,Friday,2772,30104,30106,St. Hanshaugen,Ullern,29966,38334,2.8,7.1,430000,648000,4300.922129547601
57,Friday,3775,30104,30107,St. Hanshaugen,Vestre Aker,29966,13362,2.8,11.55,430000,688000,6345.052405175703
58,Friday,7779,30104,30108,St. Hanshaugen,Nordre Aker,29966,42238,2.8,10.5,430000,578000,3161.506711309059
59,Friday,2061,30104,30109,St. Hanshaugen,Bjerke,29966,22537,2.8,5.85,430000,490000,6184.069986269997
60,Friday,1018,30104,30110,St. Hanshaugen,Grorud,29966,9297,2.8,4.37,430000,453000,10748.042135665237
61,Friday,938,30104,30111,St. Hanshaugen,Stovner,29966,9490,2.8,5.04,430000,489000,12227.38532791973
62,Friday,2370,30104,30112,St. Hanshaugen,Alna,29966,31427,2.8,9.23,430000,477000,8136.391055954514
63,Friday,2486,30104,30113,St. Hanshaugen,Østensjø,29966,12470,2.8,7.66,430000,539000,8572.53510875897
64,Friday,2716,30104,30114,St. Hanshaugen,Nordstrand,29966,11179,2.8,11.83,430000,607000,8787.056680460066
65,Friday,1393,30104,30115,St. Hanshaugen,Søndre Nordstrand,29966,6701,2.8,6.16,430000,539000,15015.565603553056
66,Friday,15963,30104,30116,St. Hanshaugen,Sentrum,29966,77995,2.8,1.4,430000,335000,4047.049549115171
67,Friday,72,30104,30117,St. Hanshaugen,Marka,29966,793,2.8,5.699999999999999,430000,625000,11515.849353025553
68,Friday,7030,30105,30101,Frogner,Gamle Oslo,42741,43121,5.35,4.75,464000,453000,5195.065116918232
69,Friday,6896,30105,30102,Frogner,Grünerløkka,42741,29560,5.35,3.65,464000,450000,5419.345083763808
70,Friday,4136,30105,30103,Frogner,Sagene,42741,19408,5.35,2.34,464000,461000,4959.614120623244
71,Friday,14000,30105,30104,Frogner,St. Hanshaugen,42741,54104,5.35,2.8,464000,430000,3732.167957476821
72,Friday,60717,30105,30105,Frogner,Frogner,42741,48082,5.35,5.35,464000,464000,0.0
73,Friday,8680,30105,30106,Frogner,Ullern,42741,38334,5.35,7.1,464000,648000,2583.118128023521
74,Friday,7706,30105,30107,Frogner,Vestre Aker,42741,13362,5.35,11.55,464000,688000,5884.76641835075
75,Friday,7312,30105,30108,Frogner,Nordre Aker,42741,42238,5.35,10.5,464000,578000,5970.97908545217
76,Friday,1709,30105,30109,Frogner,Bjerke,42741,22537,5.35,5.85,464000,490000,8761.096414560401
77,Friday,806,30105,30110,Frogner,Grorud,42741,9297,5.35,4.37,464000,453000,13325.06856395564
78,Friday,789,30105,30111,Frogner,Stovner,42741,9490,5.35,5.04,464000,489000,14804.411756210138
79,Friday,2047,30105,30112,Frogner,Alna,42741,31427,5.35,9.23,464000,477000,10590.817020275608
80,Friday,1799,30105,30113,Frogner,Østensjø,42741,12470,5.35,7.66,464000,539000,10143.696341158544
81,Friday,2681,30105,30114,Frogner,Nordstrand,42741,11179,5.35,11.83,464000,607000,8591.144045348414
82,Friday,1073,30105,30115,Frogner,Søndre Nordstrand,42741,6701,5.35,6.16,464000,539000,14393.678169309376
83,Friday,18155,30105,30116,Frogner,Sentrum,42741,77995,5.35,1.4,464000,335000,3268.304795878204
84,Friday,70,30105,30117,Frogner,Marka,42741,793,5.35,5.699999999999999,464000,625000,14412.998564938223
85,Friday,2450,30106,30101,Ullern,Gamle Oslo,19164,43121,7.1,4.75,648000,453000,7538.630678145991
86,Friday,1908,30106,30102,Ullern,Grünerløkka,19164,29560,7.1,3.65,648000,450000,7668.092225214394
87,Friday,1452,30106,30103,Ullern,Sagene,19164,19408,7.1,2.34,648000,461000,6661.661197871385
88,Friday,3151,30106,30104,Ullern,St. Hanshaugen,19164,54104,7.1,2.8,648000,430000,5680.342713904701
89,Friday,8607,30106,30105,Ullern,Frogner,19164,48082,7.1,5.35,648000,464000,2583.118128023521
90,Friday,27151,30106,30106,Ullern,Ullern,19164,38334,7.1,7.1,648000,648000,0.0
91,Friday,5596,30106,30107,Ullern,Vestre Aker,19164,13362,7.1,11.55,648000,688000,4157.07874156814
92,Friday,2926,30106,30108,Ullern,Nordre Aker,19164,42238,7.1,10.5,648000,578000,6930.446079447643
93,Friday,744,30106,30109,Ullern,Bjerke,19164,22537,7.1,5.85,648000,490000,11009.843556010988
94,Friday,357,30106,30110,Ullern,Grorud,19164,9297,7.1,4.37,648000,453000,15573.815705406229
95,Friday,281,30106,30111,Ullern,Stovner,19164,9490,7.1,5.04,648000,489000,17053.158897660724
96,Friday,920,30106,30112,Ullern,Alna,19164,31427,7.1,9.23,648000,477000,12934.382581503363
97,Friday,813,30106,30113,Ullern,Østensjø,19164,12470,7.1,7.66,648000,539000,12487.261902386304
98,Friday,1006,30106,30114,Ullern,Nordstrand,19164,11179,7.1,11.83,648000,607000,11249.313662634668
99,Friday,383,30106,30115,Ullern,Søndre Nordstrand,19164,6701,7.1,6.16,648000,539000,17051.847786595627
100,Friday,4267,30106,30116,Ullern,Sentrum,19164,77995,7.1,1.4,648000,335000,5926.4744131644575
101,Friday,83,30106,30117,Ullern,Marka,19164,793,7.1,5.699999999999999,648000,625000,14987.113271728404
102,Friday,1892,30107,30101,Vestre Aker,Gamle Oslo,27837,43121,11.55,4.75,688000,453000,9081.136063595924
103,Friday,1504,30107,30102,Vestre Aker,Grünerløkka,27837,29560,11.55,3.65,688000,450000,8322.715103578734
104,Friday,1413,30107,30103,Vestre Aker,Sagene,27837,19408,11.55,2.34,688000,461000,6588.167648021268
105,Friday,3939,30107,30104,Vestre Aker,St. Hanshaugen,27837,54104,11.55,2.8,688000,430000,6379.24655976538
106,Friday,7495,30107,30105,Vestre Aker,Frogner,27837,48082,11.55,5.35,688000,464000,5254.111517919711
107,Friday,5710,30107,30106,Vestre Aker,Ullern,27837,38334,11.55,7.1,688000,648000,4138.215947358329
